row_id,row_code,study_year,study_country,study_continent,page_id,page_link,author_id,affiliation_text,affiliation_country,affiliation_type,affiliation_extra_info,affiliation_continent,uniqueauthor,lead_author
47,Africa2,2012,South Africa,Africa,6435,https://www.conservationevidence.com/individual-study/6435,1,"Institute of Botany, University of Regensburg, 93040 Regensburg, Germany",Germany,University,,Europe,6435 1,1
48,Africa2,2012,South Africa,Africa,6435,https://www.conservationevidence.com/individual-study/6435,2,"Laboratoire d’Ecologie, Systématique et Evolution (ESE), UMR CNRS 8079, Université Paris-Sud 11, 91405 Orsay Cedex, France",France,University,,Europe,6435 2,0
49,Africa2,2012,South Africa,Africa,6435,https://www.conservationevidence.com/individual-study/6435,3,"Department of Conservation Ecology & Entomology and Centre for Invasion Biology, Stellenbosch University, Stellenbosch 7602, South Africa",South Africa,University,,Africa,6435 3,0
50,Africa2,2012,South Africa,Africa,6435,https://www.conservationevidence.com/individual-study/6435,4,"Institute of Botany, University of Regensburg, 93040 Regensburg, Germany",Germany,University,,Europe,6435 4,0
51,Africa2,2012,South Africa,Africa,6435,https://www.conservationevidence.com/individual-study/6435,5,"Institute of Botany, University of Regensburg, 93040 Regensburg, Germany",Germany,University,,Europe,6435 5,1
52,Africa20,2013,South Africa,Africa,6926,https://www.conservationevidence.com/individual-study/6926,1,"Department of Biological Sciences, University of Cape Town, Private Bag, Rondebosch, Cape Town 7701, South Africa",South Africa,University,,Africa,6926 1,1
53,Africa20,2013,South Africa,Africa,6926,https://www.conservationevidence.com/individual-study/6926,2,"Department of Biological Sciences, University of Cape Town, Private Bag, Rondebosch, Cape Town 7701, South Africa",South Africa,University,,Africa,6926 2,0
54,Africa20,2013,South Africa,Africa,6926,https://www.conservationevidence.com/individual-study/6926,3,"Percy FitzPatrick Institute, DST/NRF Centre of Excellence, University of Cape Town, Rondebosch, Cape Town 7701, South Africa",South Africa,University,,Africa,6926 3,1
55,Africa21,2012,Cameroon,Africa,6374,https://www.conservationevidence.com/individual-study/6374,1,"Director of
the Wildlife Conservation Society’s
(WCS) Takamanda-Mone Landscape
Project in Cameroon",Cameroon,NGO,,Africa,6374 1,1
56,Africa22,2011,South Africa,Africa,6369,https://www.conservationevidence.com/individual-study/6369,1,"School of Biological Earth and Environmental Sciences, University of New South Wales, Sydney, N.S.W., Australia",Australia,University,,Oceania,6369 1,1
57,Africa22,2011,South Africa,Africa,6369,https://www.conservationevidence.com/individual-study/6369,2,"School of Biological Earth and Environmental Sciences, University of New South Wales, Sydney, N.S.W., Australia",Australia,University,,Oceania,6369 2,0
58,Africa22,2011,South Africa,Africa,6369,https://www.conservationevidence.com/individual-study/6369,3,"School of Biological Earth and Environmental Sciences, University of New South Wales, Sydney, N.S.W., Australia",Australia,University,,Oceania,6369 3,1
59,Africa23,2012,Ghana,Africa,6395,https://www.conservationevidence.com/individual-study/6395,1,"
Department of Environment and Natural Resources Management, Presbyterian University College, Akwapim Campus,
Akropong, Ghana",Ghana,University,,Africa,6395 1,1
