rowid,sampid,Lat,Long,Link (URL),Hyperlink,Language,Reference Type,Authors (separate with//),study_year,Journal,Volume,Issue,Pages,study_country,study_continent,authorid,affiliation_country,affiliation_continent,uniqueauthor,lead_author
52,66,12.892331,39.501166,https://www.elibrary.ru/item.asp?id=32467360,https://www.elibrary.ru/item.asp?id=32467360,Russian,Journal article,"Kide M. Gebremedihin, Emiru Birhane , Tewodros Tadesse, Hailemariam Gbrewahid",2018,Nature Conservation Research,3,1,43850,Ethiopia,Africa,3,Ethiopia,Africa,66 3,0
53,66,12.892331,39.501166,https://www.elibrary.ru/item.asp?id=32467360,https://www.elibrary.ru/item.asp?id=32467360,Russian,Journal article,"Kide M. Gebremedihin, Emiru Birhane , Tewodros Tadesse, Hailemariam Gbrewahid",2018,Nature Conservation Research,3,1,43850,Ethiopia,Africa,4,Ethiopia,Africa,66 4,1
54,29,0.877579,24.473238,https://revues.cirad.fr/index.php/BFT/article/view/31752,https://revues.cirad.fr/index.php/BFT/article/view/31752,French,Journal article,"Koy, Justin Kyale/ Wardell, David Andrew/ Mikwa, Jean-Fiston/ Kabuanga, Joel Masimo/ Ngonga, Alphonse Maindo Monga/ Oszwald, Johan/ Doumenge, Charles",2019,BOIS ET FORETS DES TROPIQUES,341,,15-28,Democratic Republic of the Congo,Africa,1,Democratic Republic of the Congo,Africa,29 1,1
55,29,0.877579,24.473238,https://revues.cirad.fr/index.php/BFT/article/view/31752,https://revues.cirad.fr/index.php/BFT/article/view/31752,French,Journal article,"Koy, Justin Kyale/ Wardell, David Andrew/ Mikwa, Jean-Fiston/ Kabuanga, Joel Masimo/ Ngonga, Alphonse Maindo Monga/ Oszwald, Johan/ Doumenge, Charles",2019,BOIS ET FORETS DES TROPIQUES,341,,15-28,Democratic Republic of the Congo,Africa,2,France,Europe,29 2,0
56,29,0.877579,24.473238,https://revues.cirad.fr/index.php/BFT/article/view/31752,https://revues.cirad.fr/index.php/BFT/article/view/31752,French,Journal article,"Koy, Justin Kyale/ Wardell, David Andrew/ Mikwa, Jean-Fiston/ Kabuanga, Joel Masimo/ Ngonga, Alphonse Maindo Monga/ Oszwald, Johan/ Doumenge, Charles",2019,BOIS ET FORETS DES TROPIQUES,341,,15-28,Democratic Republic of the Congo,Africa,3,Democratic Republic of the Congo,Africa,29 3,0
57,29,0.877579,24.473238,https://revues.cirad.fr/index.php/BFT/article/view/31752,https://revues.cirad.fr/index.php/BFT/article/view/31752,French,Journal article,"Koy, Justin Kyale/ Wardell, David Andrew/ Mikwa, Jean-Fiston/ Kabuanga, Joel Masimo/ Ngonga, Alphonse Maindo Monga/ Oszwald, Johan/ Doumenge, Charles",2019,BOIS ET FORETS DES TROPIQUES,341,,15-28,Democratic Republic of the Congo,Africa,4,Democratic Republic of the Congo,Africa,29 4,0
58,29,0.877579,24.473238,https://revues.cirad.fr/index.php/BFT/article/view/31752,https://revues.cirad.fr/index.php/BFT/article/view/31752,French,Journal article,"Koy, Justin Kyale/ Wardell, David Andrew/ Mikwa, Jean-Fiston/ Kabuanga, Joel Masimo/ Ngonga, Alphonse Maindo Monga/ Oszwald, Johan/ Doumenge, Charles",2019,BOIS ET FORETS DES TROPIQUES,341,,15-28,Democratic Republic of the Congo,Africa,5,Democratic Republic of the Congo,Africa,29 5,0
59,29,0.877579,24.473238,https://revues.cirad.fr/index.php/BFT/article/view/31752,https://revues.cirad.fr/index.php/BFT/article/view/31752,French,Journal article,"Koy, Justin Kyale/ Wardell, David Andrew/ Mikwa, Jean-Fiston/ Kabuanga, Joel Masimo/ Ngonga, Alphonse Maindo Monga/ Oszwald, Johan/ Doumenge, Charles",2019,BOIS ET FORETS DES TROPIQUES,341,,15-28,Democratic Republic of the Congo,Africa,6,France,Europe,29 6,0
60,29,0.877579,24.473238,https://revues.cirad.fr/index.php/BFT/article/view/31752,https://revues.cirad.fr/index.php/BFT/article/view/31752,French,Journal article,"Koy, Justin Kyale/ Wardell, David Andrew/ Mikwa, Jean-Fiston/ Kabuanga, Joel Masimo/ Ngonga, Alphonse Maindo Monga/ Oszwald, Johan/ Doumenge, Charles",2019,BOIS ET FORETS DES TROPIQUES,341,,15-28,Democratic Republic of the Congo,Africa,7,France,Europe,29 7,1
61,78,28.033887,1.659625,https://www.asjp.cerist.dz/en/article/113809,https://www.asjp.cerist.dz/en/article/113809,Arabic,Review,Laghnej Moubarakat/ Nas Yahya,2020,Afak Ilmia journal,12,2,662-678,Algeria,Africa,1,Egypt,Africa,78 1,1
